JourneyID,CustomerID,ProductID,VisitDate,Stage,Action,Duration
1,64,18,2024-06-10,Checkout,Drop-off,
2,94,11,2025-07-09,Checkout,Drop-off,
3,34,8,2024-06-14,ProductPage,View,235.0
4,33,18,2025-05-28,Checkout,Drop-off,
5,91,10,2023-02-11,Homepage,Click,156.0
6,54,11,2025-12-19,Homepage,View,264.0
7,80,4,2023-08-25,Homepage,View,298.0
8,99,10,2025-07-03,ProductPage,View,287.0
9,31,4,2025-06-13,ProductPage,View,278.0
10,44,16,2025-04-23,ProductPage,View,30.0
11,23,12,2023-08-22,Checkout,Drop-off,
12,97,12,2023-07-28,ProductPage,View,227.0
13,83,5,2024-06-20,Homepage,View,223.0
14,14,13,2025-11-01,ProductPage,View,13.0
15,9,1,2025-11-04,ProductPage,View,292.0
16,14,16,2024-07-17,Homepage,View,46.0
17,67,2,2025-12-11,Homepage,View,185.0
18,70,15,2025-10-13,Homepage,View,191.0
19,9,1,2024-08-15,Homepage,View,187.0
20,44,18,2024-02-19,productpage,View,154.0
21,58,20,2024-03-07,Checkout,Drop-off,
22,12,1,2025-11-19,Homepage,Click,20.0
23,58,1,2023-07-05,Homepage,View,48.0
24,77,6,2025-06-25,Checkout,Drop-off,
25,75,12,2023-11-23,ProductPage,View,239.0
26,78,20,2024-04-17,Homepage,View,129.0
27,36,9,2024-08-10,Homepage,View,214.0
28,1,20,2025-09-26,ProductPage,View,64.0
29,12,17,2025-06-01,Homepage,View,205.0
30,48,2,2023-05-03,ProductPage,View,242.0
31,81,19,2023-04-04,Homepage,View,130.0
32,67,11,2023-09-04,Checkout,Drop-off,
33,2,5,2025-08-10,Homepage,View,26.0
34,55,15,2023-10-26,Homepage,View,233.0
35,60,19,2023-06-21,homepage,Click,162.0
36,17,2,2023-11-20,Checkout,Purchase,137.0
37,38,17,2024-06-18,Checkout,Drop-off,
38,13,18,2023-02-23,ProductPage,View,227.0
39,63,18,2023-08-10,ProductPage,View,233.0
40,4,12,2024-12-22,Homepage,View,110.0
41,92,5,2025-11-23,ProductPage,View,124.0
42,95,10,2025-01-28,Homepage,View,172.0
43,21,8,2025-03-14,Homepage,View,40.0
44,29,3,2024-02-29,Homepage,View,193.0
45,94,6,2023-06-07,productpage,View,118.0
46,30,19,2025-10-27,Homepage,View,210.0
47,30,20,2024-02-18,checkout,Drop-off,
48,52,13,2025-02-01,Homepage,View,241.0
49,93,14,2023-04-09,Homepage,Click,69.0
50,5,9,2024-04-19,Homepage,View,44.0
51,65,8,2025-09-29,ProductPage,View,272.0
52,15,9,2025-08-07,Checkout,Drop-off,
53,24,4,2024-04-05,Homepage,View,182.0
54,9,11,2024-11-19,checkout,Drop-off,
55,1,7,2024-03-17,Checkout,Drop-off,
56,97,11,2023-12-20,Homepage,Click,234.0
57,52,14,2024-12-02,Homepage,View,253.0
58,51,20,2025-03-08,ProductPage,View,174.0
59,32,8,2024-08-19,Homepage,View,238.0
60,19,6,2025-06-17,ProductPage,View,190.0
61,69,20,2025-07-12,Homepage,Click,14.0
62,42,1,2024-10-22,Homepage,View,186.0
63,51,15,2025-05-22,Homepage,View,139.0
64,86,20,2023-07-03,ProductPage,View,77.0
65,54,10,2023-12-23,Homepage,View,101.0
66,52,2,2023-11-16,homepage,Click,242.0
67,25,1,2023-05-21,ProductPage,Click,57.0
68,45,16,2023-04-29,ProductPage,Click,250.0
69,82,19,2025-02-21,ProductPage,Click,158.0
70,75,17,2023-07-07,Homepage,View,297.0
71,40,20,2023-07-13,Checkout,Drop-off,
72,47,15,2023-08-23,Homepage,Click,34.0
73,20,16,2024-09-17,Homepage,View,17.0
74,81,13,2024-09-26,Homepage,Click,291.0
75,93,1,2024-10-01,ProductPage,Click,279.0
76,42,17,2025-05-29,Checkout,Purchase,261.0
77,36,4,2023-06-02,Homepage,Click,100.0
78,46,17,2025-06-15,Checkout,Purchase,122.0
79,75,10,2023-11-13,Homepage,View,244.0
80,64,6,2025-04-06,Homepage,Click,161.0
81,89,15,2025-10-27,Checkout,Purchase,246.0
82,64,2,2025-06-07,Homepage,Click,261.0
83,54,8,2024-01-18,ProductPage,Click,83.0
84,79,15,2025-03-09,Checkout,Purchase,48.0
85,56,4,2023-05-26,Homepage,Click,166.0
86,83,3,2023-09-06,Homepage,View,79.0
87,2,2,2023-09-25,Homepage,View,277.0
88,15,20,2025-12-18,homepage,View,136.0
89,14,9,2025-04-18,Homepage,Click,104.0
90,49,8,2025-03-25,Homepage,View,248.0
91,99,10,2023-12-07,Homepage,Click,244.0
92,88,14,2025-03-09,Homepage,View,29.0
93,43,8,2023-08-22,Checkout,Drop-off,
94,15,18,2024-09-20,Homepage,Click,143.0
95,60,8,2024-09-14,Homepage,View,182.0
96,22,9,2024-07-28,ProductPage,View,212.0
97,92,19,2025-05-26,homepage,View,203.0
98,95,8,2025-05-25,Homepage,Click,68.0
99,58,16,2024-07-06,Checkout,Purchase,87.0
100,92,10,2024-04-06,ProductPage,View,237.0
