EngagementID,ContentID,ContentType,Likes,EngagementDate,CampaignID,ProductID,ViewsClicksCombined
1,39,Blog,190,2023-08-30,1,9,1883-671
2,48,Blog,114,2023-03-28,18,20,5280-532
3,16,video,32,2023-12-08,7,14,1905-204
4,43,Video,17,2025-01-21,19,20,2766-257
5,16,newsletter,306,2024-02-21,6,15,5116-1524
6,32,Socialmedia,648,2023-06-18,18,19,8237-1641
7,33,SOCIALMEDIA,1,2025-10-01,12,2,750-34
8,47,Blog,1,2025-03-31,17,6,891-35
9,48,blog,123,2024-03-19,13,16,5571-1527
10,4,Blog,25,2023-12-03,15,15,4279-297
11,38,Socialmedia,29,2024-05-26,19,6,4297-234
12,29,socialmedia,396,2023-06-15,3,10,7877-2037
13,14,video,12,2025-02-04,12,18,1796-136
14,2,Socialmedia,317,2023-08-26,16,2,6837-2251
15,16,Socialmedia,0,2025-10-20,6,19,36-1
16,2,SOCIALMEDIA,276,2023-07-06,17,16,5980-1227
17,35,BLOG,9,2024-05-17,18,10,563-104
18,12,Video,0,2024-10-26,19,8,321-15
19,30,Newsletter,118,2023-10-29,11,9,1442-400
20,35,BLOG,0,2024-10-07,4,6,41-7
21,26,Blog,7,2024-12-28,1,6,1037-111
22,11,video,357,2024-04-04,12,16,5543-1288
23,21,Newsletter,4,2024-12-27,8,18,522-43
24,38,Newsletter,65,2024-05-20,8,16,3651-377
25,33,Newsletter,0,2025-11-17,6,10,487-5
26,31,Video,2,2025-06-04,20,20,1742-71
27,42,Video,72,2024-07-27,4,3,3225-337
28,29,Socialmedia,7,2023-12-22,2,16,165-48
29,15,video,0,2025-08-02,17,20,58-2
30,29,Newsletter,14,2024-09-10,20,17,1010-196
31,1,socialmedia,2,2025-06-10,4,4,1079-44
32,37,blog,0,2025-11-04,19,16,441-9
33,44,BLOG,3,2025-06-21,1,7,1415-76
34,1,Socialmedia,29,2023-04-18,11,4,1223-127
35,2,VIDEO,1,2025-07-26,13,15,704-17
36,29,NEWSLETTER,6,2025-06-11,9,19,1788-75
37,32,Video,400,2023-01-24,7,1,9759-3095
38,30,Newsletter,449,2023-01-02,16,15,2674-956
39,24,Video,373,2023-09-02,11,11,4881-1204
40,18,Video,215,2024-04-02,4,4,3222-793
41,8,Socialmedia,193,2024-06-01,2,12,4654-1083
42,16,Blog,840,2023-07-23,17,8,6771-2617
43,34,Newsletter,92,2023-08-12,8,1,3640-370
44,18,Newsletter,3,2025-04-10,9,8,1341-66
45,9,Blog,4,2024-10-19,15,12,797-103
46,5,Blog,11,2024-09-29,1,1,2549-228
47,41,Video,33,2024-06-08,3,12,1145-130
48,19,Video,15,2025-01-26,17,8,1648-163
49,41,Newsletter,0,2025-07-13,19,3,171-8
50,43,SOCIALMEDIA,11,2024-06-23,15,14,1066-110
51,44,NEWSLETTER,44,2025-02-25,6,17,2725-358
52,41,Blog,3,2025-04-22,3,15,1617-70
53,41,Video,2,2024-09-20,16,15,599-39
54,40,Blog,0,2025-09-22,13,17,706-34
55,50,Blog,18,2025-04-01,18,6,2387-201
56,24,socialmedia,1,2025-12-19,10,5,922-39
57,8,Video,3,2025-01-12,7,20,944-91
58,2,video,0,2025-11-07,17,9,578-11
59,37,video,0,2025-07-17,10,1,219-7
60,1,socialmedia,0,2025-10-15,19,7,404-15
61,47,blog,72,2024-01-24,16,7,2847-528
62,15,Socialmedia,2,2025-05-29,18,10,1521-33
63,31,NEWSLETTER,6,2025-03-28,16,16,1473-97
64,49,video,0,2025-12-03,1,15,111-3
65,3,Blog,30,2023-10-05,14,12,524-94
66,28,VIDEO,23,2024-09-12,4,5,1493-141
67,29,Newsletter,176,2024-06-10,2,19,5147-788
68,33,Video,5,2024-10-20,3,19,239-43
69,50,blog,68,2024-05-11,2,8,2935-303
70,12,Socialmedia,10,2024-04-30,12,11,228-49
71,37,Video,459,2023-03-04,11,14,4368-1156
72,19,BLOG,657,2023-01-06,17,1,6991-2499
73,10,socialmedia,0,2025-04-06,18,3,40-4
74,6,Newsletter,64,2023-08-22,7,7,4098-761
75,11,Video,12,2024-05-01,13,18,565-137
76,48,Blog,545,2023-03-11,14,3,6205-2834
77,26,Socialmedia,143,2023-08-27,20,18,1671-482
78,44,SOCIALMEDIA,2,2025-06-07,17,2,713-44
79,36,video,397,2023-04-26,9,16,3632-1500
80,15,video,8,2025-01-04,19,12,1535-243
81,30,NEWSLETTER,11,2024-06-30,11,2,581-117
82,49,Socialmedia,142,2023-04-26,8,20,1354-425
83,48,video,14,2025-02-20,9,2,1933-158
84,24,socialmedia,116,2023-05-22,18,14,6319-832
85,34,Video,0,2025-05-08,18,20,36-3
86,37,BLOG,5,2025-04-06,3,7,1576-45
87,8,BLOG,111,2024-07-27,2,2,3142-602
88,28,socialmedia,121,2023-10-01,12,7,1360-440
89,21,Socialmedia,1,2024-11-27,2,13,214-15
90,35,Video,595,2023-05-25,7,9,3338-1402
91,8,Blog,9,2024-05-26,7,13,379-95
92,35,video,3,2025-05-21,3,8,516-49
93,23,SOCIALMEDIA,147,2023-02-19,1,17,2989-1283
94,33,Video,389,2023-02-18,15,17,2595-933
95,35,newsletter,22,2024-08-15,1,7,1193-209
96,17,Blog,32,2024-07-15,14,13,712-142
97,34,blog,3,2025-07-01,16,7,696-47
98,44,blog,0,2025-08-20,11,8,231-10
99,26,Blog,119,2024-04-15,17,4,3511-479
100,32,Video,34,2024-05-05,15,13,2657-175
